site_id,site_name,latitude,longitude,elevation,geology,rock_age,monitoring,Land,lat_start,lat_stop,long_start,long_stop
1,Bittoo cave,30.7903,77.7764,3000,limestone,Pleistocene,yes,Indien,30,31,77,78
2,Kesang cave,42.87,81.75,2000,unknown,Pleistocene,no,China,42,43,81,82
3,Paraiso cave,-4.0667,-55.45,60,limestone,Carboniferous,yes,Brasilien,-4,-5,-55,-56
4,Villars cave,45.43,0.78,175,limestone,Jurassic,yes,Frankreich,45,46,0,1
5,Yangkou cave,29.0333,107.1833,2140,limestone,Permian,yes,China,29,30,107,108
6,Hulu cave,32.5,119.17,90,unknown,unknown,unknown,China,32,33,119,120
7,Cold Air cave,-24,29.1833,1420,dolomite,Precambrian,yes,Südafrika,-24,-24,29,30
8,Lancaster Hole,54.2209,-2.5168,294,limestone,Carboniferous,yes,England,54,55,-2,-3
9,Tonnel’naya cave,38.4,67.23,3226,unknown,Pleistocene,no,Usbekistan,38,39,67,68
10,Jaraguá cave,-21.083,-56.583,570,limestone,unknown,yes,Brasilien,-21,-22,-56,-57
11,Jeita cave,33.95,35.65,100,limestone,Pleistocene,no,Libanon,33,34,35,36
12,Mawmluh cave,25.2622,91.8817,1160,limestone,Eocene,yes,Indien,25,26,91,92
13,Ball Gown cave,-17.3,124.1,100,limestone,Devonian,no,Australien,-17,-18,124,125
14,Lehman caves,39.01,-114.2199,2080,limestone,Cambrian,yes,USA-Nevada,39,40,-114,-115
15,Baschg cave,47.2501,9.6667,780,limestone,Cretaceous,no,Österreich (Feldkirch),47,48,9,10
16,Han-sur-Lesse cave,50.1164,5.1884,180,limestone,Devonian,no,Belgien,50,51,5,6
17,Huangye cave,33.5833,105.1167,1650,unknown,unknown,no,China,33,34,105,106
18,Abissal cave,-5.6,-37.733,100,limestone,unknown,no,Brasilien,-5,-6,-37,-38
19,Kanaan cave,33.9069,35.6069,98,limestone,Jurassic,yes,Libanon,33,34,35,36
20,Secret cave,4.0848,114.8503,250,limestone,unknown,unknown,Malaysia,4,5,114,115
21,Uamh an Tartair,58.14,4.93,220,dolomite,Ordovician,yes,Nodrsee???,58,59,4,5
22,RukieSSa cave,8.6036,40.3772,1618,limestone,Jurassic,yes,Äthiopien,8,9,40,41
23,Lapa grande cave,-14.42,-44.366,590,limestone,Precambrian,no,Brasilien,-14,-15,-44,-45
24,Lapa sem fim cave,-16.1503,-44.6281,341,limestone,Precambrian,yes,Brasilien,-16,-17,-44,-45
25,Palestina cave,-5.92,-77.35,870,limestone,Triassic,yes,Peru,-5,-6,-77,-78
26,Okshola cave,67,15,165,marble,unknown,no,Norwegen,67,67,15,15
27,Tamboril cave,-16,-47,200,dolomite,Precambrian,yes,Brasilien,-16,-16,-47,-47
28,Valmiki cave ,15.15,77.8167,420,dolomite,Precambrian,no,Indien,15,16,77,78
29,Mairs cave,-32.16,138.83,475,limestone,Cambrian,no,Australien,-32,-33,138,139
30,Lobatse cave,-25.21,25.68,1200,dolomite,unknown,no,Botswana,-25,-26,25,26
